CarID,Brand,model,transmission,fuelType,year,mileage,tax,mpg,engineSize,paintQuality%,previousOwners,price
3683,Toyota, RAV4,Automatic,Hybrid,2016.0,33390.0,20.0,55.4,2.5,80.0,0.0,21990
-412,Toyota, Avensis,manual,Petrol,2017.0,14458.0,150.0,110.34497686910323,1.8,68.0,0.0,13498
2584,, Focus,Automatic,Petrol,2017.0,,150.0,51.4,1.0,51.0,1.0,10799
69,Ford, B-MAX,Semi-Auto,Petrol,2016.0,17900.0,160.0,44.1,1.6,83.0,2.0,9995
1844,Skoda, Kodiaq,Automatic,Petrol,2017.0,33015.0,145.0,44.8,1.4,39.0,0.0,17950
33,BMW, X1,Manual,Diesel,2018.0,12800.0,145.0,68.9,2.0,99.0,4.0,18502
3085,Mercedes, C Class,Semi-Auto,Diesel,2017.0,46512.0,145.0,65.7,2.1,65.0,2.0,22000
-35,Toyota, Aygo,Manual,Petro,2017.0,12118.0,0.0,69.0,1.0,93.0,1.0,6990
-470,Opel, Corsa,Manua,Petrol,2019.0,2500.0,145.0,43.5,1.4,99.0,2.0,9250
-579,Ford, Fiesta,Manual,etrol,2019.0,11805.0,145.0,55.4,1.0,73.0,3.0,13900
3518,Opel, Astra,Manual,Petrol,2016.0,22176.0,125.0,51.4,1.4,35.0,2.0,9991
3710,Opel, Corsa,Manual,Petrol,2013.0,53093.0,125.0,51.4,1.4,92.0,2.0,4561
3134,VW, Golf,Manual,Diesel,2017.0,27815.0,20.0,67.3,2.0,94.0,1.0,18495
1393,Mercedes, CL Class,Automatic,Petrol,2019.0,1200.0,145.0,45.6,1.3,39.0,1.0,27590
1589,Mercedes, A Class,Manual,Diesel,2016.0,35847.0,30.0,62.8,2.1,48.0,0.0,14475
2264,VW, T-Cross,Automatic,Diesel,2019.0,3800.0,145.0,51.4,1.6,86.0,4.0,17997
937,Ford, Fiesta,,Petrol,2018.0,29874.0,145.0,65.7,1.0,61.0,1.0,10020
240,VW, Golf,Semi-Auto,Diesel,2018.0,44352.0,145.0,57.7,2.0,40.0,0.0,18645
1010,BMW, X1,Semi-Auto,Diesel,2017.0,20570.0,145.0,55.4,2.0,79.0,4.0,19995
2471,Audi, A4,Semi-Auto,,2019.0,3000.0,145.0,38.7,,57.0,0.0,27495
3153,VW, T-Cross,Manual,Petrol,2019.0,337.0,145.0,,1.0,54.0,0.0,18945
23,Opel, Corsa,Automatic,Petrol,2014.0,,165.0,44.8,1.4,64.0,4.0,5250
26,Hyundai, Tucson,Automatic,Diesel,2016.0,22764.0,240.0,43.5,2.0,93.0,3.0,16980
2475,BMW, 5 Series,Semi-Auto,Diesel,2017.0,49329.0,145.0,60.1,3.0,66.0,1.0,24480
538,BMW, 2 Series,Automatic,Petrol,2019.0,123.0,145.0,39.8,3.0,43.0,4.0,28861
-426,Ford, Mondeo, Manual ,Diesel,2015.0,138000.0,20.0,68.9,2.0,99.0,0.0,6793
530,Toyota, Auris,Automatic,Hybrid,2015.0,27908.0,0.0,70.6,1.8,49.0,2.0,14775
-528,, A3,Manual,Diesel,2016.0,82023.0,20.0,70.6,1.6,125.30194543254365,4.0,12199
1611,Audi, Q3,Semi-Auto,Diesel,2016.0,30647.0,145.0,51.4,2.0,60.0,2.0,18350
297,Mercedes, A Class,Semi-Auto,Diesel,2019.0,6722.0,145.0,65.7,1.5,66.0,1.0,20776
252,Opel, Crossland X,Automatic,Petrol,2019.0,4488.0,145.0,44.8,1.2,36.0,0.0,15999
1807,Toyota, RAV4,Automatic,Hybrid,2016.0,33195.0,20.0,55.4,2.5,96.0,1.0,21000
2005,Mercedes, C Class,Semi-Auto,Petrol,2019.0,14525.0,145.0,44.1,1.5,34.0,,24499
3165,Opel, Corsa,Manual,Petrol,2019.0,9118.0,,44.8,1.4,31.0,1.0,10698
-258,ercedes, C Class,Manual,Diesel,2014.0,52000.0,20.0,64.2,2.1,82.0,3.0,9000
3623,Opel, Mokka,Manual,Petrol,2015.0,37090.0,160.0,44.8,1.4,70.0,2.0,8298
544,Ford, Mondeo,Manual,Diesel,2010.0,140000.0,145.0,53.3,2.0,98.0,3.0,3493
291,VW, up,Manual,Petrol,2020.0,531.0,,,1.0,63.0,0.0,11780
-268,VW, Up,Manual,Petrol,2010.7464032037276,25.0,145.0,51.4,1.0,56.0,2.0,11590
1691,Toyota, Aygo,Manual,Petrol,,35745.0,0.0,69.0,1.0,39.0,4.0,5730
1513,Mercedes, C Class,Semi-Auto,Diesel,2015.0,21539.0,20.0,64.2,2.1,,3.0,16199
2460,Skoda, Scala,Manual,Petrol,2019.0,4266.0,145.0,49.6,1.0,99.0,,14992
2881,BMW, 2 Series,Manual,Petrol,2017.0,24893.0,150.0,53.3,1.5,36.0,2.0,13990
1978,Toyota, Yaris,Manual,Petrol,2017.0,35655.0,30.0,,1.3,85.0,4.0,7998
371,Opel, Crossland X,Manual,Petrol,2019.0,2594.0,145.0,44.8,1.2,66.0,1.0,11691
199,Ford, KA,Manual,Petrol,2010.0,33563.0,30.0,55.4,1.2,90.0,2.0,3995
416,VW, Golf,Automatic,Petrol,2019.0,5613.0,145.0,37.7,2.0,97.0,1.0,24989
3102,Toyota, Yaris,Manual,Petrol,2019.0,5571.0,145.0,47.9,1.5,59.0,4.0,11995
1675,Ford, Fiesta,Manual,Petrol,2017.0,20455.0,145.0,62.8,1.0,90.0,1.0,13499
1765,VW, Golf,Semi-Auto,Diesel,2019.0,5301.0,150.0,49.6,2.0,85.0,1.0,24001
1042,Audi, A1,Manual,Petrol,2019.0,5432.0,145.0,47.9,1.0,63.0,0.0,19751
2817,Ford, Fiesta,Manual,Petrol,2016.0,27470.0,,65.7,1.0,73.0,4.0,9910
3685,Toyota, Aygo,Manual,Petrol,2015.0,19714.0,0.0,69.0,1.0,59.0,3.0,6399
1235,VW, Touran,Semi-Auto,Diesel,2016.0,23022.0,125.0,58.9,2.0,90.0,0.0,16567
3668,Ford, Focus,Manual,Petrol,2018.0,11285.0,150.0,60.1,1.0,80.0,1.0,12000
3185,Ford, Fiesta,Semi-Auto,Petrol,2017.0,19145.0,0.0,57.7,1.0,50.0,1.0,11499
-121,Hyundai, I10,manual,Petrol,2015.0,11166.0,30.0,57.6,1.2,,0.0,6090
3311,Mercedes, GLE Class,Semi-Auto,Diesel,2016.0,42913.0,,47.9,2.1,34.0,4.0,24998
3123,Audi, Q5,Semi-Auto,Diesel,,5700.0,145.0,38.2,2.0,56.0,1.0,38000
2658,BMW, 4 Series,Manual,Petrol,2017.0,19000.0,145.0,46.3,2.0,87.0,0.0,17990
505,BMW, 1 Serie,Automatic,Diesel,2016.0,32734.0,20.0,70.6,2.0,43.0,3.0,12500
2254,VW, Touareg,Semi-Auto,Diesel,2019.0,10.0,145.0,,3.0,36.0,,41998
586,Mercedes, C Class,Manual,Diesel,2016.0,40880.0,20.0,70.6,1.6,69.0,4.0,13680
677,Opel, Astr,Manual,Diesel,2017.0,32000.0,20.0,,1.6,79.0,1.0,9995
655,Mercedes, X-CLASS,Automatic,Diesel,2019.0,2750.0,260.0,,2.3,56.0,2.0,27995
3466,VW, Scirocco,Manual,Petrol,2016.0,22000.0,,47.1,2.0,45.0,4.0,11750
3203,Audi, Q3,Semi-Auto,Petrol,2019.0,7199.0,145.0,32.1,2.0,61.0,1.0,33490
2843,Hyundai, I30,Semi-Auto,Petrol,2017.0,23505.0,150.0,51.4,1.4,35.0,4.0,11495
683,BMW, X6,Semi-Auto,Diesel,2018.0,7531.0,145.0,40.9,3.0,43.0,3.0,40322
3604,Opel, Mokka X,Manual,Petrol,2017.0,26444.0,145.0,47.1,1.4,63.0,4.0,12500
-481,Mercede, A Class,Semi-Auto,Petrol,2013.0,48000.0,160.0,44.1,2.0,95.0,4.0,13595
2370,Hyundai, Tucson,Manual,Petrol,2018.0,9424.0,150.0,34.9,1.6,89.0,2.0,18000
-75,Skoda, Citigo,Manual,etrol,2014.0,20991.0,,62.8,1.0,92.0,1.0,6495
100,Ford, Fiesta,Manual,Petrol,2018.0,13106.0,150.0,55.4,1.1,64.0,0.0,10500
